studies
Aansprakelijkheid en Verzekering
Aarde
Aardwetenschappen
Academische Pabo
Academische lerarenopleiding primair onderwijs
Academische opleiding leraar basisonderwijs
Accountancy
Accounting and Control
Actuarial Science
Actuarial Science and Mathematical Finance- Quantitative Risk Management
Actuariële wetenschappen
Adaptive Organisms
Advanced Master in Intellectual Property Law and Knowledge Management
Advanced Technology
Aerospace Engineering
African Studies
Agris Mundus
Agrotechnologie
Algemene Cultuurwetenschappen
American Studies
Ancient and Medieval Mediterranean Worlds
"Ancient, Medieval and Renaissance Studies"
Animal Sciences
Anthropology and Development Studies
Applied Archaeology
Applied Cognitive Neuroscience
Applied Cognitive Psychology
Applied Earth Sciences
Applied Ethics
Applied Geophysics - IDEA league
Applied Linguistics - TEFL
Applied Mathematics
Applied Musicology
Applied Physics
Applied Social Psychology
Aquaculture and Marine Resource Management
Arbeidsrecht
Arbeidsrecht- Arbeid en onderneming
Archaeological Science
Archaeology
Archaeology
Art History
Art and Visual Culture
Artificial Intelligence
Artistic Research (research MA)
Arts 
Arts and Culture
Arts and Society
Asian Studies
Astronomy
Astronomy and Business Studies
Astronomy and Cosmology
Astronomy and Data Science
Astronomy and Education
Astronomy and Instrumentation
Astronomy and Science Communication and Society
Auditing and Control
Automotive Technology
BSc. Bestuurskunde
Bachelor Humanistiek
Bachelor of Science Leisure Studies
Bachelor of Science Tourism
Bachelor of Science in Business Administration
Bachelor of Science in Physiotherapy
Banking and Finance
Bedrijfs- en Consumentenwetenschappen
Bedrijfseconomie
Bedrijfskunde
Bedrijfskunde in deeltijd
Behaviour Change
Behavioural Science (research)
Behavioural and Cognitive Neurosciences
Behavioural and Social Sciences
"Beleid, Communicatie en Organisatie"
Beleidsadvisering
Besturen van veiligheid
Bestuur en Management van Lokale Vraagstukken
Bestuur en beleid
Bestuur en beleid voor professionals
Bestuurs- en Organisatiewetenschap
Bestuurs- en organisatiewetenschap
Bestuurskunde
Bestuurskunde (Public Administration)
Bestuurskunde- Besturen van Maatschappelijke Organisaties
Bestuurskunde- Besturen van Veiligheid
Bestuurskunde- Kwaliteit van Besturen
Bewegingswetenschappen
Biblical Exegesis
Bio Inspired Innovation
Bio-Farmaceutische Wetenschappen
Bio-Pharmaceutical Sciences
Bio-Pharmaceutical Sciences and Business Studies
Bio-Pharmaceutical Sciences and Education (NL)
Bio-Pharmaceutical Sciences- Bio-Pharmaceutical Sciences and Science Communication and Society
Bio-Pharmaceutical Sciences- BioTherapeutics
Bio-Pharmaceutical Sciences- Drug Discovery and Safety
Bio-Pharmaceutical Sciences- Industrial Pharmacy
Bio-Pharmaceutical Sciences- System Biomedicine and Pharmacology
Biobased Sciences
Biofabrication
Bioinformatics
Bioinformatics and Systems Biology
Bioinformatics and Systems Biology (joint degree)
Biological Sciences
Biological Sciences- Ecology and Evolution
Biological Sciences- Freshwater & Marine Biology
Biological Sciences- General Biology
Biological Sciences- Green Life Sciences
Biology
Biology of Disease
Biology- Biodiversity and Sustainability
Biology- Biology and Business Studies
Biology- Biology and Education
Biology- Biology and Science Communication and Society
Biology- Evolutionary Biology
Biology- Molecular Genetics and Biotechnology
Biomedical Engineering
Biomedical Sciences
Biomedical Sciences- Communication
Biomedical Sciences- Education
Biomedical Sciences- Management
Biomedical Sciences- Medical Biology
Biomedical Sciences- Neurobiology
Biomedical Sciences- Research
Biomedical Technology and Physics
Biomedische Technologie
Biomedische Wetenschappen
Biomedische wetenschappen
Biomolecular Sciences
Biosystems Engineering
Biotechnology
Bos- en Natuurbeheer
Bouwkunde
Brain and Cognitive Sciences (research MSc)
Building and Planning
Business Administration
Business Administration- Consumer Marketing
Business Administration- Health
Business Administration- Human Resource Management
Business Administration- International Management
Business Administration- Leadership and Change Management
Business Administration- Management Consulting
Business Administration- Strategy and Organization
Business Analysis and Modelling
Business Analytics
Business Analytics and Operations Research
Business Development and Entrepreneurship
Business Economics- Neuroeconomics
Business Informatics
Business Information Technology
Business Law
Business Process Management and IT
Business administration
Business and Management
Business and Social Impact
Bèta-gamma
CPE Track Health Systems and Prevention
Cancer and Stem Cells and Developmental Biology
Care and Cure (master's track)
Cellular and Organismal Biology
Change management
Chemical Engineering
Chemical Engineering and Chemistry
Chemical Science & Engineering
Chemistry
Chemistry of Life
Chemistry- Analytical Sciences
Chemistry- Chemistry and Business Studies
Chemistry- Chemistry and Education
Chemistry- Chemistry and Science Communication and Society
Chemistry- Molecular Sciences
Chemistry- Research in Chemistry
Chemistry- Science for Energy and Sustainability
Child Development and Education (research MSc)
Chinese Studies (120EC)
Christianity and Society
Cities and Water and Climate Change
Civil Engineering
Civil Engineering & Management
"Classical, Medieval and Early Modern Studies"
Classics and Ancient Civilizations
Classics and Ancient Civilizations (Research)
Classics and Ancient Civilizations (Research)- Assyriology
Classics and Ancient Civilizations (Research)- Classics
Classics and Ancient Civilizations (Research)- Egyptology
Classics and Ancient Civilizations (Research)- Hebrew and Aramaic Studies
Classics and Ancient Civilizations (research)
Classics and Ancient Civilizations- Ancient Studies
Classics and Ancient Civilizations- Assyriology
Classics and Ancient Civilizations- Classics
Classics and Ancient Civilizations- Egyptology
Classics and Ancient Civilizations- Hebrew and Aramaic Studies
Climate Adaptation Governance
Climate Studies
Clinical Child and Adolescent Psychology
"Clinical Child, Family and Education Studies"
Clinical Forensic Psychology and Victimology
Clinical Linguistics
Clinical Linguistics - EMCL
Clinical Research
Clinical and Developmental Psychopathology (research)
Clinical and Psychosocial Epidemiology
Coastal and Marine Engineering and Management - Erasmus Mundus master
Cognition and Criticism
"Cognition, Language and Communication"
Cognitive Computing
Cognitive Neuropsychology (research)
Cognitive Neuroscience (research)
Cognitive Science and Artificial Intelligence
Cognitive and Clinical Neuroscience (research)
College of Pharmaceutical Sciences
Commercial Law
Communicatie en Beïnvloeding
Communicatie en Life Sciences
Communicatie en educatie
Communicatie en informatiewetenschappen- Tekst en communicatie
Communicatie en organisatie
"Communicatie, beleid en management"
Communicatie- en Informatiewetenschappen
Communicatie- en Informatiewetenschappen (brede master)
Communicatie- en Informatiewetenschappen- Journalistiek
Communicatie- en Informatiewetenschappen- Multimodal Communication
Communicatie- en Informatiewetenschappen- Schrijven en Vertalen
Communicatie- en informatiewetenschappen
Communicatiekunde
Communicatiewetenschap
Communication Science
Communication Science (research MSc)
Communication Science- Academic Research Master's
Communication Science- Corporate communication
Communication Science- Entertainment communication
Communication Science- Persuasive Communication
Communication Science- Political Communication
Communication Science- Professional Research Master's
Communication and Information Studies
"Communication and Information Studies- Argumentation, Rhetoric and Communication (research MA)"
"Communication, Health and Life Sciences"
Comparative Arts and Media Studies
Comparative European History
Comparative Literary Studies
Comparative Politics
Complex Systems Engineering and Management
Complexity and Economic Behaviour
Computational Cognitive Science
Computational Science
Computer Engineering
Computer Science
Computer Science (joint degree)
Computer Science and Engineering
Computer Science- Artificial Intelligence
Computer Science- Bioinformatics
Computer Science- Computer Science and Education
Computer Science- Computer Science and Science Communication and Society
Computer Security
Computercommunicatie
Computing Science
Conflict Resolution and Governance
Conflict Studies and Human Rights
"Conflict, Power and Politics"
"Conflicts, Territories and Identities"
Connected World Technologies
Conservation and Restoration Ecology
Conservatoren-opleiding Kunstgeschiedenis
Construction Management & Engineering
Construction Management and Engineering
"Contemporary Theatre, Dance and Dramaturgy"
"Continentale filosofie- fenomenologie, hermeneutiek en psychoanalyse"
Corporate Finance and Control
Corporate Sustainability
Creative Industries
Criminaliteit en rechtshandhaving
Criminaliteit en rechtshandhaving- Comparative Criminal Justice
Criminaliteit en rechtshandhaving- Criminologie en Veiligheidsbeleid
Criminology
Crisis and Security Management
Cultural Analysis (research MA)
Cultural Anthropology and Development Sociology
Cultural Anthropology and Development Sociology- Global Ethnography
Cultural Anthropology and Development Sociology- Policy in Practice
Cultural Anthropology and Development Sociology- Visual Ethnography
Cultural Anthropology- Sociocultural Transformation
Cultural Antropology- Sustainable Citizenship
Cultural Geography and Tourism
Cultural Leadership
Cultural and Social Anthropology
